Institution,Country,Disputed items,More Info
Canadian Museum of History / Musée canadien de l’histoire,Canada,1,https://digitalbenin.org/institutions/179
"Institut für Ethnologie und Afrikastudien, Johannes Gutenberg-Universität Mainz",Germany,1,https://digitalbenin.org/institutions/18
Museum of Anthropology at UBC,Canada,1,https://digitalbenin.org/institutions/182
Hunt Museum,Ireland,1,https://digitalbenin.org/institutions/188
Gustavianum - Uppsala University Museum,Sweden,1,https://digitalbenin.org/institutions/205
Musée d'Ethnographie de Neuchâtel,Switzerland,1,https://digitalbenin.org/institutions/209
"Fleming Museum of Art, University of Vermont",United States,1,https://digitalbenin.org/institutions/220
"Michael C. Carlos Museum, Emory University",United States,1,https://digitalbenin.org/institutions/23
Museum Folkwang,Germany,1,https://digitalbenin.org/institutions/265
National Gallery of Art,United States,1,https://digitalbenin.org/institutions/277
Musée national Picasso Paris,France,1,https://digitalbenin.org/institutions/290
Museu Nacional de Etnologia,Portugal,1,https://digitalbenin.org/institutions/296
Barber Institute of Fine Arts,United Kingdom,1,https://digitalbenin.org/institutions/3
"VMFA, Virginia Museum of Fine Arts",United States,1,https://digitalbenin.org/institutions/310
Muzeum Narodowe w Szczecinie,Poland,1,https://digitalbenin.org/institutions/324
"National Archives, John F. Kennedy Presidential Library and Museum",United States,1,https://digitalbenin.org/institutions/327
"Musée de la musique, Cité de la Musique - Philharmonie de Paris",France,1,https://digitalbenin.org/institutions/329
Toledo Museum of Art,United States,1,https://digitalbenin.org/institutions/330
Northampton Museums and Art Gallery,United Kingdom,1,https://digitalbenin.org/institutions/337
Al Thani Collection,France,1,https://digitalbenin.org/institutions/344
Speed Art Museum,United States,1,https://digitalbenin.org/institutions/345
"Niedersächsische Landesmuseen Oldenburg, Landesmuseum Natur und Mensch Oldenburg",Germany,1,https://digitalbenin.org/institutions/346
Hull Museums,United Kingdom,1,https://digitalbenin.org/institutions/69
Great North Museum: Hancock,United Kingdom,1,https://digitalbenin.org/institutions/84
"Museums and Special Collections, University of Aberdeen",United Kingdom,1,https://digitalbenin.org/institutions/92
